"Rank","Name","Team","POS","SALARY","YEARS","Total_Value"
"","Paul Kariya","ANA","LW","$ 10,000,000","1 (2000)","$ 10,000,000"
"","Peter Forsberg","COL","C","$ 10,000,000","1 (2000)","$ 10,000,000"
"","Jaromir Jagr","PIT","RW","$ 9,842,708","1 (2000)","$ 9,842,708"
"","Pavel Bure","FLA","RW","$ 9,000,000","1 (2000)","$ 9,000,000"
"","Keith Tkachuk","STL","LW","$ 8,300,000","1 (2000)","$ 8,300,000"
"","Steve Yzerman","DET","C","$ 8,000,000","1 (2000)","$ 8,000,000"
"","Teemu Selanne","SJS","RW","$ 8,000,000","1 (2000)","$ 8,000,000"
"","Joe Sakic","COL","C","$ 7,900,000","1 (2000)","$ 7,900,000"
"","Brian Leetch","NYR","D","$ 7,680,000","1 (2000)","$ 7,680,000"
"","Dominik Hasek","BUF","G","$ 7,500,000","1 (2000)","$ 7,500,000"
"","Mats Sundin","TOR","C","$ 7,500,000","1 (2000)","$ 7,500,000"
"","Patrick Roy","COL","G","$ 7,500,000","1 (2000)","$ 7,500,000"
"","Nicklas Lidstrom","DET","D","$ 7,250,000","1 (2000)","$ 7,250,000"
"","Brett Hull","DAL","RW","$ 7,000,000","1 (2000)","$ 7,000,000"
"","John LeClair","PHI","LW","$ 7,000,000","1 (2000)","$ 7,000,000"
"","Mike Modano","DAL","C","$ 7,000,000","1 (2000)","$ 7,000,000"
"","Brendan Shanahan","DET","LW","$ 6,500,000","1 (2000)","$ 6,500,000"
"","Curtis Joseph","TOR","G","$ 6,150,000","1 (2000)","$ 6,150,000"
"","Doug Gilmour","BUF","C","$ 6,000,000","1 (2000)","$ 6,000,000"
"","Theo Fleury","NYR","RW","$ 6,000,000","1 (2000)","$ 6,000,000"
"","Mike Richter","NYR","G","$ 5,600,000","1 (2000)","$ 5,600,000"
"","Chris Chelios","DET","D","$ 5,500,000","1 (2000)","$ 5,500,000"
"","Ed Belfour","DAL","G","$ 5,500,000","1 (2000)","$ 5,500,000"
"","Ray Bourque","COL","D","$ 5,500,000","1 (2000)","$ 5,500,000"
"","Rob Blake","COL","D","$ 5,267,500","1 (2000)","$ 5,267,500"
"","Alexander Mogilny","NJD","RW","$ 5,200,000","1 (2000)","$ 5,200,000"
"","Chris Pronger","STL","D","$ 5,175,000","1 (2000)","$ 5,175,000"
"","Al MacInnis","STL","D","$ 5,000,000","1 (2000)","$ 5,000,000"
"","Jeremy Roenick","ARI","C","$ 5,000,000","1 (2000)","$ 5,000,000"
"","Mark Recchi","PHI","RW","$ 5,000,000","1 (2000)","$ 5,000,000"
"","Pierre Turgeon","STL","C","$ 5,000,000","1 (2000)","$ 5,000,000"
"","Ron Francis","CAR","C","$ 5,000,000","1 (2000)","$ 5,000,000"
"","Ziggy Palffy","LAK","RW","$ 5,000,000","1 (2000)","$ 5,000,000"
"","Mark Messier","NYR","C","$ 4,807,037","1 (2000)","$ 4,807,037"
"","Owen Nolan","SJS","RW","$ 4,750,000","1 (2000)","$ 4,750,000"
"","Peter Bondra","WSH","RW","$ 4,525,000","1 (2000)","$ 4,525,000"
"","Joe Nieuwendyk","DAL","C","$ 4,500,000","1 (2000)","$ 4,500,000"
"","Teppo Numminen","ARI","D","$ 4,500,000","1 (2000)","$ 4,500,000"
"","Martin Brodeur","NJD","G","$ 4,380,687","1 (2000)","$ 4,380,687"
"","Doug Weight","EDM","C","$ 4,300,000","1 (2000)","$ 4,300,000"
"","Keith Primeau","PHI","C","$ 4,250,000","1 (2000)","$ 4,250,000"
"","Rod Brind`Amour","CAR","C","$ 4,250,000","1 (2000)","$ 4,250,000"
"","Scott Stevens","NJD","D","$ 4,152,579","1 (2000)","$ 4,152,579"
"","Adam Graves","NYR","LW","$ 4,000,000","1 (2000)","$ 4,000,000"
"","Petr Nedved","NYR","C","$ 4,000,000","1 (2000)","$ 4,000,000"
"","Sandis Ozolinsh","CAR","D","$ 4,000,000","1 (2000)","$ 4,000,000"
"","Sergei Zubov","DAL","D","$ 4,000,000","1 (2000)","$ 4,000,000"
"","Vincent Damphousse","SJS","C","$ 4,000,000","1 (2000)","$ 4,000,000"
"","Derian Hatcher","DAL","D","$ 3,900,000","1 (2000)","$ 3,900,000"
"","Eric Desjardins","PHI","D","$ 3,800,000","1 (2000)","$ 3,800,000"
"","Scott Niedermayer","NJD","D","$ 3,700,000","1 (2000)","$ 3,700,000"
"","Alexei Yashin","OTT","C","$ 3,600,000","1 (2000)","$ 3,600,000"
"","Guy Hebert","NYR","G","$ 3,600,000","1 (2000)","$ 3,600,000"
"","Jyrki Lumme","ARI","D","$ 3,600,000","1 (2000)","$ 3,600,000"
"","Chris Osgood","DET","G","$ 3,500,000","1 (2000)","$ 3,500,000"
"","Jason Allison","BOS","C","$ 3,500,000","1 (2000)","$ 3,500,000"
"","John Vanbiesbrouck","NJD","G","$ 3,500,000","1 (2000)","$ 3,500,000"
"","Luc Robitaille","LAK","LW","$ 3,500,000","1 (2000)","$ 3,500,000"
"","Trevor Linden","WSH","C","$ 3,500,000","1 (2000)","$ 3,500,000"
"","Vladimir Malakhov","NYR","D","$ 3,500,000","1 (2000)","$ 3,500,000"
"","Jeff Hackett","MTL","G","$ 3,300,000","1 (2000)","$ 3,300,000"
"","Saku Koivu","MTL","C","$ 3,300,000","1 (2000)","$ 3,300,000"
"","Dmitri Khristich","WSH","LW","$ 3,250,000","1 (2000)","$ 3,250,000"
"","Mike Vernon","CGY","G","$ 3,250,000","1 (2000)","$ 3,250,000"
"","Bill Guerin","BOS","RW","$ 3,212,500","1 (2000)","$ 3,212,500"
"","Adam Foote","COL","D","$ 3,200,000","1 (2000)","$ 3,200,000"
"","Boris Mironov","CHI","D","$ 3,200,000","1 (2000)","$ 3,200,000"
"","Gary Suter","SJS","D","$ 3,200,000","1 (2000)","$ 3,200,000"
"","Byron Dafoe","BOS","G","$ 3,150,000","1 (2000)","$ 3,150,000"
"","Andrew Cassels","VAN","C","$ 3,050,000","1 (2000)","$ 3,050,000"
"","Alexei Zhamnov","CHI","C","$ 3,000,000","1 (2000)","$ 3,000,000"
"","Dmitri Mironov","WSH","D","$ 3,000,000","1 (2000)","$ 3,000,000"
"","Olaf Kolzig","WSH","G","$ 3,000,000","1 (2000)","$ 3,000,000"
"","Sergei Gonchar","WSH","D","$ 3,000,000","1 (2000)","$ 3,000,000"
"","Tony Amonte","CHI","RW","$ 3,000,000","1 (2000)","$ 3,000,000"
"","Valeri Kamensky","NYR","LW","$ 3,000,000","1 (2000)","$ 3,000,000"
"","Adam Oates","WSH","C","$ 2,950,000","1 (2000)","$ 2,950,000"
"","Daniel Alfredsson","OTT","RW","$ 2,800,000","1 (2000)","$ 2,800,000"
"","Roman Hamrlik","NYI","D","$ 2,800,000","1 (2000)","$ 2,800,000"
"","Shawn McEachern","OTT","LW","$ 2,800,000","1 (2000)","$ 2,800,000"
"","Gary Roberts","TOR","LW","$ 2,750,000","1 (2000)","$ 2,750,000"
"","Bobby Holik","NJD","C","$ 2,700,000","1 (2000)","$ 2,700,000"
"","Felix Potvin","LAK","G","$ 2,700,000","1 (2000)","$ 2,700,000"
"","Martin Rucinsky","MTL","LW","$ 2,700,000","1 (2000)","$ 2,700,000"
"","Mike Ricci","SJS","C","$ 2,700,000","1 (2000)","$ 2,700,000"
"","Darryl Sydor","DAL","D","$ 2,600,000","1 (2000)","$ 2,600,000"
"","Adam Deadmarsh","LAK","RW","$ 2,500,000","1 (2000)","$ 2,500,000"
"","Alexei Zhitnik","BUF","D","$ 2,500,000","1 (2000)","$ 2,500,000"
"","Bryan Marchment","SJS","D","$ 2,500,000","1 (2000)","$ 2,500,000"
"","Glen Wesley","CAR","D","$ 2,500,000","1 (2000)","$ 2,500,000"
"","Igor Kravchuk","CGY","D","$ 2,500,000","1 (2000)","$ 2,500,000"
"","Jason Arnott","NJD","C","$ 2,500,000","1 (2000)","$ 2,500,000"
"","Jeff Friesen","ANA","LW","$ 2,500,000","1 (2000)","$ 2,500,000"
"","Luke Richardson","PHI","D","$ 2,500,000","1 (2000)","$ 2,500,000"
"","Miroslav Satan","BUF","LW","$ 2,500,000","1 (2000)","$ 2,500,000"
"","Oleg Tverdovsky","ANA","D","$ 2,500,000","1 (2000)","$ 2,500,000"
"","Phil Housley","CGY","D","$ 2,500,000","1 (2000)","$ 2,500,000"
"","Robert Svehla","FLA","D","$ 2,500,000","1 (2000)","$ 2,500,000"
"","Steve Thomas","TOR","RW","$ 2,500,000","1 (2000)","$ 2,500,000"
"","Jere Lehtinen","DAL","RW","$ 2,400,000","1 (2000)","$ 2,400,000"
"","Chris Simon","WSH","LW","$ 2,350,000","1 (2000)","$ 2,350,000"
"","Markus Naslund","VAN","LW","$ 2,350,000","1 (2000)","$ 2,350,000"
"","Stephane Fiset","LAK","G","$ 2,350,000","1 (2000)","$ 2,350,000"
"","Alex Kovalev","PIT","RW","$ 2,300,000","1 (2000)","$ 2,300,000"
"","Ed Jovanovski","VAN","D","$ 2,300,000","1 (2000)","$ 2,300,000"
"","Jocelyn Thibault","CHI","G","$ 2,300,000","1 (2000)","$ 2,300,000"
"","Lyle Odelein","CBJ","D","$ 2,300,000","1 (2000)","$ 2,300,000"
"","Stephane Quintal","CHI","D","$ 2,300,000","1 (2000)","$ 2,300,000"
"","Sylvain Lefebvre","NYR","D","$ 2,300,000","1 (2000)","$ 2,300,000"
"","Trevor Kidd","FLA","G","$ 2,300,000","1 (2000)","$ 2,300,000"
"","Damian Rhodes","WPG","G","$ 2,250,000","1 (2000)","$ 2,250,000"
"","Joe Juneau","ARI","LW","$ 2,250,000","1 (2000)","$ 2,250,000"
"","Paul Coffey","BOS","D","$ 2,250,000","1 (2000)","$ 2,250,000"
"","Shayne Corson","TOR","LW","$ 2,250,000","1 (2000)","$ 2,250,000"
"","Slava Kozlov","DET","LW","$ 2,250,000","1 (2000)","$ 2,250,000"
"","Jozef Stumpel","LAK","C","$ 2,200,000","1 (2000)","$ 2,200,000"
"","Martin Straka","PIT","LW","$ 2,200,000","1 (2000)","$ 2,200,000"
"","Patrice Brisebois","MTL","D","$ 2,200,000","1 (2000)","$ 2,200,000"
"","Rick Tocchet","PHI","RW","$ 2,200,000","1 (2000)","$ 2,200,000"
"","Rob Zamuner","OTT","LW","$ 2,200,000","1 (2000)","$ 2,200,000"
"","Roman Turek","STL","G","$ 2,200,000","1 (2000)","$ 2,200,000"
"","Ron Tugnutt","CBJ","G","$ 2,200,000","1 (2000)","$ 2,200,000"
"","Sami Kapanen","CAR","RW","$ 2,200,000","1 (2000)","$ 2,200,000"
"","Alexander Karpovtsev","CHI","D","$ 2,150,000","1 (2000)","$ 2,150,000"
"","Bryan McCabe","TOR","D","$ 2,150,000","1 (2000)","$ 2,150,000"
"","Ray Whitney","CBJ","LW","$ 2,150,000","1 (2000)","$ 2,150,000"
"","Steve Rucchin","ANA","C","$ 2,150,000","1 (2000)","$ 2,150,000"
"","Randy McKay","NJD","RW","$ 2,142,852","1 (2000)","$ 2,142,852"
"","Arturs Irbe","CAR","G","$ 2,100,000","1 (2000)","$ 2,100,000"
"","Keith Carney","ARI","D","$ 2,100,000","1 (2000)","$ 2,100,000"
"","Rob Niedermayer","FLA","C","$ 2,100,000","1 (2000)","$ 2,100,000"
"","Dmitry Yushkevich","TOR","D","$ 2,050,000","1 (2000)","$ 2,050,000"
"","Calle Johansson","WSH","D","$ 2,000,000","1 (2000)","$ 2,000,000"
"","Claude Lemieux","ARI","RW","$ 2,000,000","1 (2000)","$ 2,000,000"
"","Dallas Drake","STL","RW","$ 2,000,000","1 (2000)","$ 2,000,000"
"","Donald Audette","BUF","RW","$ 2,000,000","1 (2000)","$ 2,000,000"
"","Eric Daze","CHI","LW","$ 2,000,000","1 (2000)","$ 2,000,000"
"","Eric Weinrich","BOS","D","$ 2,000,000","1 (2000)","$ 2,000,000"
"","Mathieu Schneider","LAK","D","$ 2,000,000","1 (2000)","$ 2,000,000"
"","Mattias Ohlund","VAN","D","$ 2,000,000","1 (2000)","$ 2,000,000"
"","Murray Baron","VAN","D","$ 2,000,000","1 (2000)","$ 2,000,000"
"","Petr Svoboda","TBL","D","$ 2,000,000","1 (2000)","$ 2,000,000"
"","Scott Mellanby","STL","RW","$ 2,000,000","1 (2000)","$ 2,000,000"
"","Sean Hill","STL","D","$ 2,000,000","1 (2000)","$ 2,000,000"
"","Sergei Berezin","TOR","LW","$ 2,000,000","1 (2000)","$ 2,000,000"
"","Sergei Fedorov","DET","C","$ 2,000,000","1 (2000)","$ 2,000,000"
"","Wade Redden","OTT","D","$ 1,950,000","1 (2000)","$ 1,950,000"
"","Mike Keane","DAL","RW","$ 1,925,000","1 (2000)","$ 1,925,000"
"","Brian Savage","MTL","RW","$ 1,900,000","1 (2000)","$ 1,900,000"
"","Curtis Leschyshyn","OTT","D","$ 1,900,000","1 (2000)","$ 1,900,000"
"","Gord Murphy","WPG","D","$ 1,900,000","1 (2000)","$ 1,900,000"
"","Lance Pitlick","FLA","D","$ 1,900,000","1 (2000)","$ 1,900,000"
"","Rich Pilon","NYR","D","$ 1,900,000","1 (2000)","$ 1,900,000"
"","Richard Matvichuk","DAL","D","$ 1,900,000","1 (2000)","$ 1,900,000"
"","Scott Young","STL","RW","$ 1,900,000","1 (2000)","$ 1,900,000"
"","Kenny Jonsson","NYI","D","$ 1,850,000","1 (2000)","$ 1,850,000"
"","Janne Niinimaa","EDM","D","$ 1,810,000","1 (2000)","$ 1,810,000"
"","Garry Galley","NYI","D","$ 1,804,000","1 (2000)","$ 1,804,000"
"","Bob Probert","CHI","LW","$ 1,800,000","1 (2000)","$ 1,800,000"
"","Chris Therien","PHI","D","$ 1,800,000","1 (2000)","$ 1,800,000"
"","Darren McCarty","DET","RW","$ 1,800,000","1 (2000)","$ 1,800,000"
"","Don Sweeney","BOS","D","$ 1,800,000","1 (2000)","$ 1,800,000"
"","Igor Larionov","DET","C","$ 1,800,000","1 (2000)","$ 1,800,000"
"","Ken Daneyko","NJD","D","$ 1,800,000","1 (2000)","$ 1,800,000"
"","Nelson Emerson","LAK","RW","$ 1,800,000","1 (2000)","$ 1,800,000"
"","Pavol Demitra","STL","LW","$ 1,800,000","1 (2000)","$ 1,800,000"
"","Ryan Smyth","EDM","LW","$ 1,800,000","1 (2000)","$ 1,800,000"
"","Tommy Salo","EDM","G","$ 1,800,000","1 (2000)","$ 1,800,000"
"","Travis Green","ARI","C","$ 1,800,000","1 (2000)","$ 1,800,000"
"","Kyle McLaren","BOS","D","$ 1,755,000","1 (2000)","$ 1,755,000"
"","Boyd Devereaux","DET","C","$ 1,750,000","1 (2000)","$ 1,750,000"
"","Cliff Ronning","NSH","C","$ 1,750,000","1 (2000)","$ 1,750,000"
"","Dan McGillis","PHI","D","$ 1,750,000","1 (2000)","$ 1,750,000"
"","German Titov","ANA","C","$ 1,750,000","1 (2000)","$ 1,750,000"
"","Todd Gill","DET","D","$ 1,750,000","1 (2000)","$ 1,750,000"
"","Viktor Kozlov","FLA","C","$ 1,750,000","1 (2000)","$ 1,750,000"
"","Scott Thornton","SJS","C","$ 1,725,000","1 (2000)","$ 1,725,000"
"","Bret Hedican","FLA","D","$ 1,712,500","1 (2000)","$ 1,712,500"
"","Alexander Selivanov","CBJ","RW","$ 1,700,000","1 (2000)","$ 1,700,000"
"","Anson Carter","EDM","RW","$ 1,700,000","1 (2000)","$ 1,700,000"
"","Bryan Smolinski","LAK","C","$ 1,700,000","1 (2000)","$ 1,700,000"
"","Jarome Iginla","CGY","RW","$ 1,700,000","1 (2000)","$ 1,700,000"
"","Tie Domi","TOR","RW","$ 1,684,937","1 (2000)","$ 1,684,937"
"","Jason York","OTT","D","$ 1,650,000","1 (2000)","$ 1,650,000"
"","Steve Shields","SJS","G","$ 1,650,000","1 (2000)","$ 1,650,000"
"","Adrian Aucoin","TBL","D","$ 1,600,000","1 (2000)","$ 1,600,000"
"","Darius Kasparaitis","PIT","D","$ 1,600,000","1 (2000)","$ 1,600,000"
"","Larry Murphy","DET","D","$ 1,600,000","1 (2000)","$ 1,600,000"
"","Mattias Norstrom","LAK","D","$ 1,600,000","1 (2000)","$ 1,600,000"
"","Steve Duchesne","DET","D","$ 1,600,000","1 (2000)","$ 1,600,000"
"","Tom Fitzgerald","NSH","RW","$ 1,600,000","1 (2000)","$ 1,600,000"
"","Joe Thornton","BOS","C","$ 1,550,000","1 (2000)","$ 1,550,000"
"","Sergei Samsonov","BOS","LW","$ 1,550,000","1 (2000)","$ 1,550,000"
"","Brian Boucher","PHI","G","$ 1,500,000","1 (2000)","$ 1,500,000"
"","Chris Gratton","BUF","C","$ 1,500,000","1 (2000)","$ 1,500,000"
"","Cory Stillman","STL","C","$ 1,500,000","1 (2000)","$ 1,500,000"
"","Geoff Sanderson","CBJ","LW","$ 1,500,000","1 (2000)","$ 1,500,000"
"","Jeff O'Neill","CAR","C","$ 1,500,000","1 (2000)","$ 1,500,000"
"","Joe Reekie","WSH","D","$ 1,500,000","1 (2000)","$ 1,500,000"
"","Kevin Haller","NYI","D","$ 1,500,000","1 (2000)","$ 1,500,000"
"","Kevin Hatcher","CAR","D","$ 1,500,000","1 (2000)","$ 1,500,000"
"","Marcus Ragnarsson","SJS","D","$ 1,500,000","1 (2000)","$ 1,500,000"
"","Mariusz Czerkawski","NYI","RW","$ 1,500,000","1 (2000)","$ 1,500,000"
"","Michal Sykora","PHI","D","$ 1,500,000","1 (2000)","$ 1,500,000"
"","Mike Dunham","NSH","G","$ 1,500,000","1 (2000)","$ 1,500,000"
"","Radek Bonk","OTT","C","$ 1,500,000","1 (2000)","$ 1,500,000"
"","Steve Konowalchuk","WSH","C","$ 1,500,000","1 (2000)","$ 1,500,000"
"","Steve Smith","CGY","D","$ 1,500,000","1 (2000)","$ 1,500,000"
"","Stu Barnes","BUF","C","$ 1,500,000","1 (2000)","$ 1,500,000"
"","Brian Rolston","BOS","C","$ 1,473,000","1 (2000)","$ 1,473,000"
"","Bill Houlder","NSH","D","$ 1,450,000","1 (2000)","$ 1,450,000"
"","Jamie Storr","LAK","G","$ 1,450,000","1 (2000)","$ 1,450,000"
"","Jason Smith","EDM","D","$ 1,450,000","1 (2000)","$ 1,450,000"
"","Tim Taylor","NYR","C","$ 1,450,000","1 (2000)","$ 1,450,000"
"","Marty McInnis","ANA","LW","$ 1,430,000","1 (2000)","$ 1,430,000"
"","Mario Lemieux","PIT","C","$ 1,410,000","1 (2000)","$ 1,410,000"
"","Craig Conroy","CGY","C","$ 1,400,000","1 (2000)","$ 1,400,000"
"","Richard Smehlik","BUF","D","$ 1,400,000","1 (2000)","$ 1,400,000"
"","Sylvain Cote","WSH","D","$ 1,400,000","1 (2000)","$ 1,400,000"
"","Glen Murray","LAK","RW","$ 1,375,000","1 (2000)","$ 1,375,000"
"","Curtis Brown","BUF","C","$ 1,333,333","1 (2000)","$ 1,333,333"
"","Jay McKee","BUF","D","$ 1,333,333","1 (2000)","$ 1,333,333"
"","Steve Heinze","BUF","RW","$ 1,320,000","1 (2000)","$ 1,320,000"
"","Chris Drury","COL","C","$ 1,300,000","1 (2000)","$ 1,300,000"
"","Glenn Healy","TOR","G","$ 1,300,000","1 (2000)","$ 1,300,000"
"","Ken Klee","WSH","D","$ 1,300,000","1 (2000)","$ 1,300,000"
"","Martin Gelinas","CAR","LW","$ 1,300,000","1 (2000)","$ 1,300,000"
"","Sean Burke","ARI","G","$ 1,300,000","1 (2000)","$ 1,300,000"
"","Todd Marchant","EDM","C","$ 1,300,000","1 (2000)","$ 1,300,000"
"","Jamie Langenbrunner","DAL","RW","$ 1,265,000","1 (2000)","$ 1,265,000"
"","Martin Lapointe","DET","RW","$ 1,250,000","1 (2000)","$ 1,250,000"
"","Michael Nylander","CHI","C","$ 1,250,000","1 (2000)","$ 1,250,000"
"","Pat Verbeek","DET","RW","$ 1,250,000","1 (2000)","$ 1,250,000"
"","Michal Handzus","ARI","C","$ 1,233,333","1 (2000)","$ 1,233,333"
"","Magnus Arvedson","OTT","C","$ 1,210,000","1 (2000)","$ 1,210,000"
"","Alexei Gusarov","STL","D","$ 1,200,000","1 (2000)","$ 1,200,000"
"","Brad Werenka","CGY","D","$ 1,200,000","1 (2000)","$ 1,200,000"
"","Dixon Ward","BOS","RW","$ 1,200,000","1 (2000)","$ 1,200,000"
"","Frantisek Kucera","PIT","D","$ 1,200,000","1 (2000)","$ 1,200,000"
"","Jiri Slegr","WPG","D","$ 1,200,000","1 (2000)","$ 1,200,000"
"","Milan Hejduk","COL","RW","$ 1,200,000","1 (2000)","$ 1,200,000"
"","Radek Dvorak","NYR","RW","$ 1,200,000","1 (2000)","$ 1,200,000"
"","Trent Klatt","VAN","RW","$ 1,200,000","1 (2000)","$ 1,200,000"
"","Valeri Zelepukin","CHI","RW","$ 1,200,000","1 (2000)","$ 1,200,000"
"","Chris Tamer","WPG","D","$ 1,175,000","1 (2000)","$ 1,175,000"
"","Todd Bertuzzi","VAN","RW","$ 1,175,000","1 (2000)","$ 1,175,000"
"","Valeri Bure","CGY","RW","$ 1,175,000","1 (2000)","$ 1,175,000"
"","Claude Lapointe","NYI","C","$ 1,163,260","1 (2000)","$ 1,163,260"
"","Yanic Perreault","TOR","C","$ 1,155,000","1 (2000)","$ 1,155,000"
"","Donald Brashear","VAN","LW","$ 1,150,000","1 (2000)","$ 1,150,000"
"","Mike Eastwood","STL","C","$ 1,150,000","1 (2000)","$ 1,150,000"
"","Niklas Sundstrom","SJS","LW","$ 1,150,000","1 (2000)","$ 1,150,000"
"","Ray Ferraro","WPG","C","$ 1,150,000","1 (2000)","$ 1,150,000"
"","Andrei Nikolishin","WSH","C","$ 1,127,500","1 (2000)","$ 1,127,500"
"","Dean McAmmond","PHI","C","$ 1,127,500","1 (2000)","$ 1,127,500"
"","Robert Lang","PIT","C","$ 1,105,000","1 (2000)","$ 1,105,000"
"","Benoit Brunet","MTL","LW","$ 1,100,000","1 (2000)","$ 1,100,000"
"","Brian Holzinger","TBL","C","$ 1,100,000","1 (2000)","$ 1,100,000"
"","Dave Andreychuk","BUF","LW","$ 1,100,000","1 (2000)","$ 1,100,000"
"","Derek Morris","CGY","D","$ 1,100,000","1 (2000)","$ 1,100,000"
"","Greg Johnson","NSH","C","$ 1,100,000","1 (2000)","$ 1,100,000"
"","Igor Ulanov","EDM","D","$ 1,100,000","1 (2000)","$ 1,100,000"
"","Janne Laukkanen","PIT","D","$ 1,100,000","1 (2000)","$ 1,100,000"
"","Matthew Barnaby","TBL","RW","$ 1,100,000","1 (2000)","$ 1,100,000"
"","Michal Grosek","NYR","LW","$ 1,100,000","1 (2000)","$ 1,100,000"
"","Mike Rathje","SJS","D","$ 1,100,000","1 (2000)","$ 1,100,000"
"","Robert Kron","CBJ","LW","$ 1,100,000","1 (2000)","$ 1,100,000"
"","Sean O`Donnell","NJD","D","$ 1,100,000","1 (2000)","$ 1,100,000"
"","Shane Doan","ARI","RW","$ 1,100,000","1 (2000)","$ 1,100,000"
"","Shjon Podein","COL","LW","$ 1,100,000","1 (2000)","$ 1,100,000"
"","Stephane Matteau","SJS","LW","$ 1,100,000","1 (2000)","$ 1,100,000"
"","Tommy Albelin","CGY","D","$ 1,100,000","1 (2000)","$ 1,100,000"
"","Justin Williams","PHI","RW","$ 1,075,000","1 (2000)","$ 1,075,000"
"","Marian Gaborik","MIN","RW","$ 1,075,000","1 (2000)","$ 1,075,000"
"","Rick DiPietro","NYI","G","$ 1,075,000","1 (2000)","$ 1,075,000"
"","Scott Hartnell","NSH","LW","$ 1,075,000","1 (2000)","$ 1,075,000"
"","Steve Sullivan","CHI","RW","$ 1,075,000","1 (2000)","$ 1,075,000"
"","Todd Simpson","ARI","D","$ 1,066,000","1 (2000)","$ 1,066,000"
"","Doug Brown","DET","RW","$ 1,050,000","1 (2000)","$ 1,050,000"
"","Jason Wiemer","CGY","C","$ 1,050,000","1 (2000)","$ 1,050,000"
"","Mike Johnson","ARI","RW","$ 1,050,000","1 (2000)","$ 1,050,000"
"","Jason Woolley","BUF","D","$ 1,045,000","1 (2000)","$ 1,045,000"
"","Branislav Mezei","NYI","D","$ 1,025,000","1 (2000)","$ 1,025,000"
"","Daniel Sedin","VAN","LW","$ 1,025,000","1 (2000)","$ 1,025,000"
"","Denis Shvidki","FLA","RW","$ 1,025,000","1 (2000)","$ 1,025,000"
"","Henrik Sedin","VAN","C","$ 1,025,000","1 (2000)","$ 1,025,000"
"","Mike Comrie","EDM","C","$ 1,025,000","1 (2000)","$ 1,025,000"
"","Mike Van Ryn","STL","D","$ 1,025,000","1 (2000)","$ 1,025,000"
"","Oleg Saprykin","CGY","C","$ 1,025,000","1 (2000)","$ 1,025,000"
"","Patrik Stefan","WPG","C","$ 1,025,000","1 (2000)","$ 1,025,000"
"","Steve McCarthy","CHI","D","$ 1,025,000","1 (2000)","$ 1,025,000"
"","Taylor Pyatt","NYI","LW","$ 1,025,000","1 (2000)","$ 1,025,000"
"","Tim Connolly","NYI","C","$ 1,025,000","1 (2000)","$ 1,025,000"
"","Anders Eriksson","FLA","D","$ 1,000,000","1 (2000)","$ 1,000,000"
"","Brad May","ARI","LW","$ 1,000,000","1 (2000)","$ 1,000,000"
"","Brendan Witt","WSH","D","$ 1,000,000","1 (2000)","$ 1,000,000"
"","Craig Rivet","MTL","D","$ 1,000,000","1 (2000)","$ 1,000,000"
"","Dainius Zubrus","WSH","RW","$ 1,000,000","1 (2000)","$ 1,000,000"
"","Greg Adams","FLA","LW","$ 1,000,000","1 (2000)","$ 1,000,000"
"","Igor Korolev","TOR","C","$ 1,000,000","1 (2000)","$ 1,000,000"
"","Jose Theodore","MTL","G","$ 1,000,000","1 (2000)","$ 1,000,000"
"","Karl Dykhuis","MTL","D","$ 1,000,000","1 (2000)","$ 1,000,000"
"","Mike Sillinger","OTT","C","$ 1,000,000","1 (2000)","$ 1,000,000"
"","Roman Cechmanek","PHI","G","$ 1,000,000","1 (2000)","$ 1,000,000"
"","Shawn Heins","SJS","D","$ 1,000,000","1 (2000)","$ 1,000,000"
"","Ulf Dahlen","WSH","RW","$ 1,000,000","1 (2000)","$ 1,000,000"
"","Cory Cross","TOR","D","$ 990,000","1 (2000)","$ 990,000"
"","Alex Tanguay","COL","C","$ 975,000","1 (2000)","$ 975,000"
"","Brad Richards","TBL","LW","$ 975,000","1 (2000)","$ 975,000"
"","Brad Stuart","SJS","D","$ 975,000","1 (2000)","$ 975,000"
"","Fredrik Modin","TBL","LW","$ 975,000","1 (2000)","$ 975,000"
"","Jiri Fischer","DET","D","$ 975,000","1 (2000)","$ 975,000"
"","John MacLean","DAL","RW","$ 975,000","1 (2000)","$ 975,000"
"","Kelly Buchberger","LAK","RW","$ 975,000","1 (2000)","$ 975,000"
"","Kris Draper","DET","C","$ 975,000","1 (2000)","$ 975,000"
"","Manny Malhotra","NYR","C","$ 975,000","1 (2000)","$ 975,000"
"","Martin Skoula","COL","D","$ 975,000","1 (2000)","$ 975,000"
"","Robyn Regehr","CGY","D","$ 975,000","1 (2000)","$ 975,000"
"","Sheldon Keefe","TBL","RW","$ 975,000","1 (2000)","$ 975,000"
"","Simon Gagne","PHI","LW","$ 975,000","1 (2000)","$ 975,000"
"","Vincent Lecavalier","TBL","C","$ 975,000","1 (2000)","$ 975,000"
"","Vitaly Vishnevski","ANA","D","$ 975,000","1 (2000)","$ 975,000"
"","Chris Phillips","OTT","D","$ 962,500","1 (2000)","$ 962,500"
"","Kirk Maltby","DET","RW","$ 962,500","1 (2000)","$ 962,500"
"","Bill Muckalt","NYI","RW","$ 950,000","1 (2000)","$ 950,000"
"","Bob Boughner","PIT","D","$ 950,000","1 (2000)","$ 950,000"
"","Fred Brathwaite","CGY","G","$ 950,000","1 (2000)","$ 950,000"
